Id,Edad,Sexo,MT,LaO,LoO,LaD,LoD,,,,
31,52,0,Bicicleta,4.6092,-74.08123,4.5233,-74.11229,,,,
32,41,1,A Pie,4.5708,-74.08294,4.6239,-74.00007,,,,
33,61,1,Bicicleta,4.5866,-74.00327,4.5523,-74.13266,,,,
34,64,0,Moto,4.5357,-74.15598,4.5725,-74.07429,,,,
35,63,1,Transmilenio,4.5859,-74.04909,4.6879,-74.19173,,,,
36,73,0,A Pie,4.6268,-74.14038,4.5616,-74.12301,,,,
37,22,1,Transmilenio,4.5380,-74.00623,4.5899,-74.15585,,,,
38,65,0,Carro,4.5565,-74.04082,4.6117,-74.04743,,,,
39,58,0,Transmilenio,4.6930,-74.13261,4.6942,-74.0762,,,,
40,49,1,Transmilenio,4.5207,-74.06154,4.6569,-74.03498,,,,
41,54,1,Transmilenio,4.5520,-74.09478,4.5990,-74.08324,,,,
42,16,1,Transmilenio,4.5207,-74.10796,4.5985,-74.06598,,,,
43,64,0,Carro,4.5979,-74.07402,4.6505,-74.09547,,,,
44,33,0,Transmilenio,4.6257,-74.13342,4.5832,-74.08932,,,,
45,36,1,Transmilenio,4.5343,-74.01503,4.5497,-74.03453,,,,
46,22,0,Moto,4.5336,-74.1078,4.6585,-74.10424,,,,
47,44,0,A Pie,4.5403,-74.01103,4.6747,-74.05873,,,,
48,28,1,Bicicleta,4.6848,-74.0096,4.6887,-74.11158,,,,
49,55,0,Bicicleta,4.5160,-74.01501,4.6814,-74.15402,,,,
50,19,1,Transmilenio,4.5989,-74.13154,4.5354,-74.10971,,,,
51,28,1,Transmilenio,4.6296,-74.09594,4.6802,-74.12672,,,,
52,56,0,Transmilenio,4.6768,-74.19522,4.5325,-74.12792,,,,
53,72,1,Carro,4.6869,-74.13875,4.6662,-74.13251,,,,
54,38,0,Transmilenio,4.6598,-74.05986,4.5930,-74.1684,,,,
55,74,1,A Pie,4.5189,-74.11932,4.6394,-74.09639,,,,
56,75,1,Transmilenio,4.5168,-74.09633,4.6694,-74.12993,,,,
57,17,0,Transmilenio,4.5292,-74.03838,4.5955,-74.1716,,,,
58,43,1,Transmilenio,4.6593,-74.16521,4.6944,-74.1729,,,,
59,49,1,Moto,4.5302,-74.17802,4.6996,-74.1401,,,,
60,49,0,Transmilenio,4.5050,-74.03662,4.5480,-74.07846,,,,
61,74,0,Transmilenio,4.6274,-74.00572,4.5353,-74.02279,,,,
62,17,0,Transmilenio,4.5210,-74.17095,4.6791,-74.13865,,,,
63,72,1,Carro,4.6734,-74.05666,4.6857,-74.19321,,,,
64,61,0,Transmilenio,4.5438,-74.194,4.6728,-74.03401,,,,
65,39,1,A Pie,4.6428,-74.07146,4.6560,-74.02981,,,,
66,70,1,A Pie,4.5308,-74.19669,4.5513,-74.17977,,,,
67,32,1,Transmilenio,4.6696,-74.14324,4.6966,-74.16471,,,,
68,37,1,Moto,4.6333,-74.08291,4.5068,-74.05919,,,,
69,59,1,A Pie,4.6786,-74.07313,4.5781,-74.04679,,,,
70,43,0,Transmilenio,4.5904,-74.16848,4.5938,-74.10127,,,,
71,52,1,Moto,4.5398,-74.05104,4.5761,-74.07919,,,,
72,27,0,Carro,4.6072,-74.12622,4.5512,-74.06663,,,,
73,20,1,Moto,4.6970,-74.03643,4.6479,-74.07461,,,,
74,59,1,A Pie,4.6057,-74.03123,4.6536,-74.02965,,,,
75,61,0,Carro,4.6927,-74.07524,4.6079,-74.07249,,,,
76,56,1,Transmilenio,4.5183,-74.13613,4.5579,-74.01867,,,,
77,65,0,Carro,4.6480,-74.05779,4.5445,-74.05482,,,,
78,34,1,Moto,4.6152,-74.06923,4.6672,-74.09672,,,,
79,55,0,Carro,4.5948,-74.14862,4.5395,-74.07754,,,,
80,20,0,Bicicleta,4.5461,-74.10046,4.5344,-74.1914,,,,
81,38,1,Transmilenio,4.5285,-74.00787,4.6462,-74.03188,,,,
82,42,0,Transmilenio,4.5103,-74.01894,4.6584,-74.18102,,,,
83,60,0,A Pie,4.5533,-74.18711,4.6051,-74.0209,,,,
84,16,1,Moto,4.6051,-74.12011,4.5682,-74.07374,,,,
85,18,0,A Pie,4.6444,-74.09888,4.6677,-74.09433,,,,
86,61,0,Transmilenio,4.5892,-74.19178,4.6779,-74.09384,,,,
87,17,0,Carro,4.6086,-74.14125,4.6417,-74.15257,,,,
88,21,0,Transmilenio,4.6484,-74.1848,4.5017,-74.01006,,,,
89,49,0,A Pie,4.6150,-74.07844,4.5392,-74.12268,,,,
90,38,0,Transmilenio,4.5041,-74.19193,4.5971,-74.11523,,,,
91,36,0,Transmilenio,4.6874,-74,4.5741,-74.10639,,,,
92,20,0,Transmilenio,4.5584,-74.09438,4.6957,-74.17357,,,,
93,67,0,A Pie,4.5001,-74.18171,4.6963,-74.08041,,,,
94,19,0,A Pie,4.5271,-74.15037,4.5350,-74.16531,,,,
95,61,1,Transmilenio,4.6538,-74.14747,4.5879,-74.13127,,,,
96,40,0,Carro,4.6019,-74.13908,4.6568,-74.13635,,,,
97,15,1,A Pie,4.5350,-74.0492,4.6491,-74.17992,,,,
98,60,1,A Pie,4.6822,-74.12653,4.5189,-74.10998,,,,
99,18,1,A Pie,4.5965,-74.05042,4.5281,-74.1364,,,,
100,50,0,A Pie,4.5115,-74.0217,4.5960,-74.16705,,,,
101,56,1,Bicicleta,4.6903,-74.03564,4.6006,-74.17372,,,,
102,73,0,A Pie,4.6655,-74.14825,4.6386,-74.15702,,,,
103,54,0,Transmilenio,4.6190,-74.03907,4.5874,-74.15224,,,,
104,17,1,A Pie,4.6024,-74.08236,4.5930,-74.00918,,,,
105,30,0,Carro,4.6629,-74.18576,4.6535,-74.03516,,,,
106,20,1,Transmilenio,4.5720,-74.09295,4.5227,-74.14255,,,,
107,65,0,A Pie,4.6707,-74.18035,4.6848,-74.06407,,,,
108,64,1,A Pie,4.5664,-74.08174,4.6409,-74.04597,,,,
109,20,0,Transmilenio,4.5936,-74.10084,4.6140,-74.19413,,,,
110,65,0,A Pie,4.6497,-74.1838,4.6691,-74.10373,,,,
111,62,0,Bicicleta,4.6614,-74.07633,4.6122,-74.14833,,,,
112,68,0,A Pie,4.5401,-74.04638,4.6932,-74.08775,,,,
113,67,0,Transmilenio,4.6861,-74.10828,4.5553,-74.02889,,,,
114,46,0,Carro,4.5371,-74.00565,4.6737,-74.12461,,,,
115,20,0,Transmilenio,4.6042,-74.10287,4.6529,-74.1466,,,,
116,69,0,Transmilenio,4.6255,-74.09096,4.6079,-74.05041,,,,
117,69,1,Moto,4.5381,-74.06101,4.5254,-74.07252,,,,
118,65,1,Transmilenio,4.5636,-74.00347,4.5267,-74.03008,,,,
119,26,0,Transmilenio,4.5547,-74.15929,4.5153,-74.04167,,,,
120,41,0,A Pie,4.5467,-74.13593,4.6496,-74.09534,,,,
121,42,1,Carro,4.5965,-74.14882,4.6372,-74.04913,,,,
122,58,0,Transmilenio,4.5252,-74.14788,4.5716,-74.0355,,,,
123,46,0,Transmilenio,4.6752,-74.10227,4.6693,-74.12778,,,,
124,15,0,Moto,4.5099,-74.15986,4.5068,-74.03639,,,,
125,19,0,Transmilenio,4.5792,-74.19665,4.5298,-74.09974,,,,
126,36,0,Transmilenio,4.5185,-74.16884,4.5410,-74.09512,,,,
127,53,1,A Pie,4.5726,-74.10711,4.6187,-74.09151,,,,
128,29,0,A Pie,4.5930,-74.18908,4.6373,-74.03524,,,,
129,43,1,Moto,4.6180,-74.19467,4.5635,-74.04281,,,,
130,42,0,A Pie,4.6791,-74.08038,4.6952,-74.10456,,,,
131,33,0,Transmilenio,4.5123,-74.09715,4.6665,-74.17273,,,,
132,42,0,Carro,4.6724,-74.08616,4.6543,-74.12479,,,,
133,37,1,Moto,4.5353,-74.01594,4.6904,-74.13187,,,,
134,53,0,Transmilenio,4.5945,-74.19433,4.6338,-74.17186,,,,
135,54,1,Moto,4.6425,-74.01597,4.6520,-74.01984,,,,
136,31,0,A Pie,4.5665,-74.12779,4.5206,-74.11996,,,,
137,45,1,A Pie,4.6759,-74.14294,4.5590,-74.16538,,,,
138,47,0,Moto,4.6781,-74.19483,4.6357,-74.09566,,,,
139,69,0,Transmilenio,4.6948,-74.00828,4.5865,-74.11836,,,,
140,33,0,A Pie,4.5797,-74.01177,4.6788,-74.09934,,,,
141,67,0,A Pie,4.5492,-74.08333,4.5181,-74.1518,,,,
142,18,0,A Pie,4.5655,-74.06308,4.5691,-74.18013,,,,
143,39,0,A Pie,4.6741,-74.00008,4.6782,-74.05464,,,,
144,17,0,Transmilenio,4.5858,-74.14034,4.5326,-74.09536,,,,
145,65,1,Moto,4.5064,-74.10952,4.6171,-74.00209,,,,
146,16,0,A Pie,4.5160,-74.08346,4.5061,-74.07343,,,,
147,37,0,Transmilenio,4.6139,-74.10659,4.5330,-74.18144,,,,
148,36,0,Carro,4.5096,-74.02378,4.6435,-74.04515,,,,
149,25,1,Transmilenio,4.5390,-74.12894,4.5606,-74.14791,,,,
150,42,1,Transmilenio,4.6612,-74.16428,4.6708,-74.05809,,,,
151,73,1,Moto,4.6314,-74.06318,4.5795,-74.04468,,,,
152,19,0,A Pie,4.5151,-74.10219,4.6704,-74.04634,,,,
153,69,1,Moto,4.5380,-74.05015,4.6595,-74.19098,,,,
154,16,1,Moto,4.5077,-74.09204,4.6473,-74.10531,,,,
155,32,1,Moto,4.6914,-74.07993,4.5615,-74.14112,,,,
156,43,1,Transmilenio,4.6029,-74.17069,4.6643,-74.00665,,,,
157,26,1,Bicicleta,4.6104,-74.04588,4.5212,-74.09523,,,,
158,33,0,Transmilenio,4.6275,-74.1303,4.6471,-74.11685,,,,
159,24,1,A Pie,4.5957,-74.03752,4.6155,-74.1151,,,,
160,48,0,Moto,4.5257,-74.18979,4.5363,-74.13245,,,,
161,23,1,A Pie,4.5628,-74.15097,4.6734,-74.01405,,,,
162,35,1,Transmilenio,4.5071,-74.13793,4.5599,-74.17437,,,,
163,47,1,Carro,4.5340,-74.0607,4.6350,-74.02976,,,,
164,59,0,Bicicleta,4.5006,-74.13249,4.6324,-74.19494,,,,
165,25,0,Transmilenio,4.5907,-74.07472,4.6897,-74.09717,,,,
166,57,1,A Pie,4.6645,-74.15463,4.6989,-74.18263,,,,
167,58,1,Transmilenio,4.5403,-74.13226,4.6352,-74.12508,,,,
168,52,1,Moto,4.5742,-74.17736,4.5306,-74.05166,,,,
169,72,0,Bicicleta,4.5476,-74.12684,4.5918,-74.12762,,,,
170,42,0,Transmilenio,4.5486,-74.06642,4.5538,-74.05719,,,,
171,51,0,Moto,4.5809,-74.13694,4.5490,-74.00526,,,,
172,25,1,Bicicleta,4.5929,-74.09535,4.6060,-74.17044,,,,
173,18,1,Transmilenio,4.5367,-74.04094,4.6847,-74.11934,,,,
174,23,1,Carro,4.6610,-74.02762,4.5022,-74.05214,,,,
175,23,1,Moto,4.5296,-74.11589,4.5561,-74.15609,,,,
176,41,1,A Pie,4.5846,-74.1068,4.5498,-74.13351,,,,
177,29,1,Transmilenio,4.6033,-74.18927,4.5331,-74.19426,,,,
178,15,1,Carro,4.5288,-74.11688,4.6291,-74.05546,,,,
179,59,0,Carro,4.5591,-74.12587,4.6576,-74.05473,,,,
180,35,1,A Pie,4.6374,-74.04576,4.5466,-74.14171,,,,
181,17,1,Transmilenio,4.6516,-74.139,4.6048,-74.02213,,,,
182,52,1,Bicicleta,4.5972,-74.13935,4.6323,-74.05895,,,,
183,33,0,Carro,4.6950,-74.07355,4.6014,-74.0021,,,,
184,68,1,Transmilenio,4.5171,-74.01885,4.6122,-74.19413,,,,
185,53,1,Transmilenio,4.6923,-74.03112,4.6482,-74.16055,,,,
186,38,1,Carro,4.6229,-74.19011,4.6831,-74.08869,,,,
187,36,1,Transmilenio,4.6987,-74.14682,4.6004,-74.12741,,,,
188,51,0,A Pie,4.5397,-74.12475,4.5301,-74.18091,,,,
189,62,0,A Pie,4.5305,-74.00484,4.5645,-74.12601,,,,
190,18,0,Moto,4.6319,-74.05396,4.6583,-74.07652,,,,
191,51,1,Moto,4.5488,-74.07024,4.5654,-74.07535,,,,
192,46,1,A Pie,4.5650,-74.13095,4.6864,-74.06976,,,,
193,70,1,A Pie,4.5215,-74.15935,4.6989,-74.1036,,,,
194,57,0,Transmilenio,4.5112,-74.16125,4.5846,-74.09459,,,,
195,26,1,A Pie,4.5091,-74.09119,4.5469,-74.17413,,,,
196,19,1,Moto,4.6684,-74.19772,4.5613,-74.13993,,,,
197,28,0,Moto,4.5909,-74.00612,4.6244,-74.17522,,,,
198,62,0,Carro,4.6211,-74.03542,4.5802,-74.08067,,,,
199,25,1,Transmilenio,4.6786,-74.09784,4.5768,-74.1139,,,,
200,63,0,Moto,4.6655,-74.01171,4.6267,-74.01111,,,,
201,20,0,A Pie,4.6546,-74.13377,4.5928,-74.11926,,,,
202,43,1,Transmilenio,4.5956,-74.15656,4.5528,-74.03905,,,,
203,57,1,Bicicleta,4.6502,-74.158,4.6919,-74.07275,,,,
204,41,0,Transmilenio,4.5624,-74.1427,4.5456,-74.03696,,,,
205,42,0,A Pie,4.5936,-74.01994,4.5283,-74.07629,,,,
206,18,0,Moto,4.6215,-74.08647,4.6566,-74.15256,,,,
207,15,0,Transmilenio,4.6039,-74.15085,4.6213,-74.05611,,,,
208,58,0,Carro,4.5804,-74.08285,4.6180,-74.17998,,,,
209,47,1,Transmilenio,4.5322,-74.08339,4.6562,-74.08982,,,,
210,71,0,Transmilenio,4.6762,-74.01941,4.5608,-74.01868,,,,
211,38,0,Bicicleta,4.6603,-74.11943,4.5435,-74.18587,,,,
212,64,0,Transmilenio,4.5810,-74.19871,4.5881,-74.17166,,,,
213,61,1,A Pie,4.5160,-74.08916,4.5587,-74.18355,,,,
214,36,1,Moto,4.5027,-74.03106,4.5924,-74.12497,,,,
215,27,1,Moto,4.6020,-74.04791,4.6451,-74.11396,,,,
216,63,0,Transmilenio,4.6340,-74.18343,4.6678,-74.01583,,,,
217,69,0,Carro,4.6752,-74.07162,4.5713,-74.14779,,,,
218,60,0,Transmilenio,4.5729,-74.06865,4.5110,-74.16584,,,,
219,64,0,A Pie,4.6207,-74.12216,4.5871,-74.17982,,,,
220,35,0,A Pie,4.5757,-74.02262,4.6178,-74.07927,,,,
221,57,1,Moto,4.6848,-74.09544,4.5192,-74.14731,,,,
222,20,1,A Pie,4.5780,-74.14992,4.6193,-74.15474,,,,
223,31,1,Transmilenio,4.6393,-74.0594,4.6297,-74.11273,,,,
224,35,1,Moto,4.5360,-74.00203,4.5289,-74.03739,,,,
225,24,0,A Pie,4.5622,-74.08234,4.5339,-74.13704,,,,
226,75,0,Transmilenio,4.6862,-74.063,4.6207,-74.1917,,,,
227,20,0,Carro,4.6462,-74.09237,4.6829,-74.01306,,,,
228,54,0,Carro,4.5994,-74.01569,4.6016,-74.15163,,,,
229,30,1,Bicicleta,4.6772,-74.16526,4.6762,-74.15152,,,,
230,31,1,Bicicleta,4.6766,-74.10066,4.6209,-74.03543,,,,
231,45,0,Transmilenio,4.5179,-74.14101,4.5923,-74.13154,,,,
232,51,0,A Pie,4.6058,-74.19538,4.5850,-74.09711,,,,
233,26,1,Carro,4.6853,-74.157,4.5420,-74.07925,,,,
234,75,1,A Pie,4.5554,-74.05608,4.5695,-74.0845,,,,
235,52,0,A Pie,4.5339,-74.12772,4.5932,-74.11361,,,,
236,42,0,Carro,4.5863,-74.01935,4.5791,-74.18501,,,,
237,53,0,Transmilenio,4.6658,-74.15936,4.5098,-74.14742,,,,
238,54,0,A Pie,4.5183,-74.14792,4.5611,-74.02168,,,,
239,45,0,Transmilenio,4.6753,-74.03273,4.6039,-74.01823,,,,
240,43,0,Carro,4.6778,-74.18006,4.6287,-74.18838,,,,
241,62,1,Transmilenio,4.5443,-74.01938,4.5698,-74.17302,,,,
242,23,0,A Pie,4.5183,-74.19533,4.5818,-74.00669,,,,
243,27,0,Bicicleta,4.5222,-74.07844,4.5046,-74.13832,,,,
244,65,1,Bicicleta,4.6494,-74.13945,4.6798,-74.00001,,,,
245,29,0,Carro,4.6329,-74.0437,4.5193,-74.13506,,,,
246,15,0,Transmilenio,4.6019,-74.19084,4.5344,-74.19732,,,,
247,57,0,Carro,4.6194,-74.1574,4.6190,-74.03131,,,,
248,57,0,Transmilenio,4.6754,-74.06464,4.6295,-74.0412,,,,
249,46,1,Carro,4.5984,-74.11586,4.5117,-74.06025,,,,
250,16,1,Moto,4.5643,-74.09595,4.6992,-74.07926,,,,
251,28,0,A Pie,4.6759,-74.03384,4.5790,-74.13289,,,,
252,33,1,Transmilenio,4.6725,-74.14272,4.5010,-74.00113,,,,
253,69,0,Carro,4.6592,-74.04368,4.6244,-74.07816,,,,
254,65,1,Carro,4.5486,-74.14815,4.6204,-74.16834,,,,
255,42,1,Transmilenio,4.6363,-74.01248,4.5163,-74.10047,,,,
256,16,1,Carro,4.5005,-74.15267,4.5056,-74.02241,,,,
257,26,1,Moto,4.6536,-74.05798,4.5463,-74.11619,,,,
258,31,0,Carro,4.6334,-74.02229,4.6214,-74.1741,,,,
259,62,1,Transmilenio,4.6805,-74.13918,4.5828,-74.02403,,,,
260,57,0,A Pie,4.5559,-74.04398,4.5229,-74.12227,,,,
261,55,0,Moto,4.5207,-74.07933,4.6432,-74.03896,,,,
262,39,0,Transmilenio,4.6956,-74.04869,4.5461,-74.16348,,,,
263,55,0,A Pie,4.6788,-74.06851,4.6614,-74.07758,,,,
264,66,0,A Pie,4.6275,-74.01647,4.6780,-74.16193,,,,
265,31,1,Transmilenio,4.5651,-74.16223,4.6416,-74.17882,,,,
266,35,0,Bicicleta,4.6782,-74.02986,4.5814,-74.16593,,,,
267,17,1,A Pie,4.6493,-74.15817,4.5438,-74.03538,,,,
268,72,0,Carro,4.5950,-74.16244,4.6445,-74.19598,,,,
269,68,1,Transmilenio,4.5530,-74.14177,4.5751,-74.10258,,,,
270,59,1,Carro,4.5156,-74.18208,4.6109,-74.14536,,,,
271,67,1,Moto,4.6297,-74.04049,4.6108,-74.1671,,,,
272,24,0,A Pie,4.6127,-74.01377,4.6750,-74.11949,,,,
273,52,1,Moto,4.5749,-74.01372,4.5520,-74.07796,,,,
274,21,0,Transmilenio,4.5065,-74.03355,4.6345,-74.0205,,,,
275,73,1,A Pie,4.5348,-74.17638,4.6781,-74.01915,,,,
276,66,0,Carro,4.5709,-74.09424,4.6085,-74.00899,,,,
277,48,0,A Pie,4.6502,-74.1847,4.6622,-74.05167,,,,
278,67,0,Bicicleta,4.6978,-74.01881,4.5590,-74.10169,,,,
279,49,0,Transmilenio,4.6684,-74.1349,4.5686,-74.06309,,,,
280,75,1,Transmilenio,4.6095,-74.05579,4.5392,-74.18104,,,,
281,54,0,Transmilenio,4.6250,-74.1954,4.6666,-74.15632,,,,
282,18,1,Carro,4.6395,-74.12677,4.6759,-74.10937,,,,
283,25,0,Carro,4.6480,-74.05605,4.5651,-74.12773,,,,
284,25,1,Transmilenio,4.6277,-74.1861,4.6823,-74.05262,,,,
285,50,1,Bicicleta,4.6645,-74.02682,4.6068,-74.0891,,,,
286,43,0,Carro,4.6193,-74.14234,4.6898,-74.11848,,,,
287,44,1,A Pie,4.5980,-74.13601,4.6799,-74.02685,,,,
288,21,1,Bicicleta,4.5331,-74.19865,4.6765,-74.06774,,,,
289,54,0,Moto,4.5878,-74.15145,4.5206,-74.19277,,,,
290,62,1,A Pie,4.5333,-74.16596,4.5543,-74.176,,,,
291,48,1,A Pie,4.6459,-74.02742,4.5980,-74.05771,,,,
292,29,1,Moto,4.6125,-74.02857,4.6007,-74.1353,,,,
293,38,0,Bicicleta,4.6937,-74.01954,4.6521,-74.18287,,,,
294,37,0,Moto,4.6200,-74.12686,4.6780,-74.19582,,,,
295,43,1,Transmilenio,4.5489,-74.05068,4.5561,-74.02776,,,,
296,22,0,A Pie,4.5960,-74.06667,4.6991,-74.15942,,,,
297,35,0,Moto,4.5762,-74.04157,4.5446,-74.00222,,,,
298,19,1,Transmilenio,4.5978,-74.05717,4.5604,-74.09462,,,,
299,30,1,Carro,4.5672,-74.11506,4.6609,-74.12738,,,,
300,68,0,A Pie,4.6749,-74.18104,4.6235,-74.08028,,,,
301,46,0,Carro,4.5896,-74.02566,4.6619,-74.06674,,,,
302,17,0,Transmilenio,4.6790,-74.16613,4.6347,-74.02985,,,,
303,61,1,A Pie,4.6969,-74.10096,4.6448,-74.03344,,,,
304,68,1,A Pie,4.5454,-74.10448,4.6799,-74.03197,,,,
305,22,1,A Pie,4.6760,-74.06734,4.6438,-74.18942,,,,
306,31,1,Moto,4.5430,-74.01293,4.5437,-74.00354,,,,
307,70,1,Carro,4.5031,-74.00462,4.5049,-74.14004,,,,
308,32,0,Bicicleta,4.6319,-74.09113,4.5560,-74.19544,,,,
309,36,0,Transmilenio,4.6691,-74.1951,4.5846,-74.00832,,,,
310,19,0,A Pie,4.6945,-74.0559,4.6101,-74.06749,,,,
311,41,0,Moto,4.5443,-74.08095,4.6593,-74.11786,,,,
312,59,1,Transmilenio,4.5340,-74.02508,4.5142,-74.19214,,,,
313,59,1,Moto,4.5273,-74.03236,4.5633,-74.05725,,,,
314,60,1,Moto,4.5253,-74.05255,4.5298,-74.00872,,,,
315,51,1,Transmilenio,4.5741,-74.03833,4.6117,-74.16329,,,,
316,64,0,A Pie,4.6504,-74.16319,4.6707,-74.02963,,,,
317,20,1,Transmilenio,4.5256,-74.0727,4.6752,-74.05037,,,,
318,62,0,Moto,4.6280,-74.04842,4.5483,-74.02991,,,,
319,22,0,Carro,4.5155,-74.05736,4.5910,-74.03984,,,,
320,70,0,Transmilenio,4.5020,-74.18002,4.5174,-74.13943,,,,
321,29,1,Bicicleta,4.5423,-74.12449,4.5466,-74.15249,,,,
322,21,0,Transmilenio,4.5305,-74.12294,4.5409,-74.03771,,,,
323,64,1,Carro,4.5436,-74.13806,4.5566,-74.12368,,,,
324,20,0,A Pie,4.5700,-74.0554,4.5459,-74.12147,,,,
325,35,1,Carro,4.6605,-74.19765,4.6531,-74.07016,,,,
326,34,1,Transmilenio,4.6337,-74.08527,4.6718,-74.13369,,,,
327,46,0,Moto,4.5939,-74.00665,4.5799,-74.11045,,,,
328,54,1,Moto,4.5271,-74.11473,4.5044,-74.02761,,,,
329,64,1,Moto,4.6561,-74.04122,4.6146,-74.08626,,,,
330,69,1,Carro,4.5977,-74.13984,4.6763,-74.14403,,,,
331,41,1,A Pie,4.5803,-74.10609,4.5784,-74.1625,,,,
332,51,0,Moto,4.6803,-74.19569,4.5872,-74.00778,,,,
333,62,0,Carro,4.5398,-74.10434,4.5986,-74.17921,,,,
334,50,0,Moto,4.6122,-74.10622,4.6193,-74.11203,,,,
335,16,1,Transmilenio,4.5583,-74.09231,4.6832,-74.07336,,,,
336,16,1,Transmilenio,4.6386,-74.15858,4.5714,-74.00144,,,,
337,38,0,Transmilenio,4.6155,-74.00679,4.5622,-74.1892,,,,
338,65,1,Carro,4.5316,-74.07162,4.5807,-74.06152,,,,
